tick,npc_id,hp,max_hp,stress,resentment,identity_integrity,intent,intent_score,emotion,gold,delta_stress,delta_gold,delta_hp,max_urgency,active_drives
1,guard_borko,30,30,0.0,0.0,1.0,ambush,0.393,нейтрально,16.7,0.0,0.0,0,0.31,
1,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.706,нейтрально,70.6,0.0,0.0,0,0.31,
1,maid_lusya,15,15,0.01,0.0,1.0,seek_ally,0.349,нейтрально,6.9,0.01,0.0,0,0.31,
1,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.825,нейтрально,51.0,0.0,0.0,0,0.31,
1,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.445,нейтрально,36.3,0.0,0.0,0,0.31,
1,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.359,нейтрально,41.2,0.0,0.0,0,0.31,
1,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.31,
2,guard_borko,30,30,0.0,0.0,1.0,ambush,0.362,нейтрально,16.7,0.0,0.0,0,0.32,
2,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.667,нейтрально,70.6,0.0,0.0,0,0.32,
2,maid_lusya,15,15,0.02,0.0,1.0,seek_ally,0.267,нейтрально,6.9,0.01,0.0,0,0.32,
2,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.754,нейтрально,51.0,0.0,0.0,0,0.32,
2,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.469,нейтрально,36.3,0.0,0.0,0,0.32,
2,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.338,нейтрально,41.2,0.0,0.0,0,0.32,
2,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.32,
3,guard_borko,30,30,0.0,0.0,1.0,ambush,0.407,нейтрально,16.7,0.0,0.0,0,0.33,
3,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.702,нейтрально,70.6,0.0,0.0,0,0.33,
3,maid_lusya,15,15,0.03,0.0,1.0,seek_ally,0.19,нейтрально,6.9,0.01,0.0,0,0.33,
3,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.704,нейтрально,51.0,0.0,0.0,0,0.33,
3,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.422,нейтрально,36.3,0.0,0.0,0,0.33,
3,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.394,нейтрально,41.2,0.0,0.0,0,0.33,
3,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.33,
4,guard_borko,30,30,0.0,0.0,1.0,ambush,0.433,нейтрально,16.7,0.0,0.0,0,0.34,
4,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.652,нейтрально,70.6,0.0,0.0,0,0.34,
4,maid_lusya,15,15,0.04,0.0,1.0,seek_ally,0.272,нейтрально,6.9,0.01,0.0,0,0.34,
4,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.762,нейтрально,51.0,0.0,0.0,0,0.34,
4,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.638,нейтрально,36.3,0.0,0.0,0,0.34,
4,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.428,нейтрально,41.2,0.0,0.0,0,0.34,
4,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.34,
5,guard_borko,30,30,0.0,0.0,1.0,ambush,0.516,нейтрально,16.7,0.0,0.0,0,0.36,
5,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.729,нейтрально,70.6,0.0,0.0,0,0.43,
5,maid_lusya,15,15,0.05,0.0,1.0,seek_ally,0.369,нейтрально,6.9,0.01,0.0,0,0.41,
5,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.822,нейтрально,51.0,0.0,0.0,0,0.42,
5,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.632,нейтрально,36.3,0.0,0.0,0,0.42,
5,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.402,нейтрально,41.2,0.0,0.0,0,0.35,
5,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.4,
6,guard_borko,30,30,0.0,0.0,1.0,ambush,0.45,нейтрально,16.7,0.0,0.0,0,0.43,
6,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.703,нейтрально,70.6,0.0,0.0,0,0.36,
6,maid_lusya,15,15,0.06,0.0,1.0,seek_ally,0.296,нейтрально,6.9,0.01,0.0,0,0.36,
6,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.864,нейтрально,51.0,0.0,0.0,0,0.36,
6,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.513,нейтрально,36.3,0.0,0.0,0,0.36,
6,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.406,нейтрально,41.2,0.0,0.0,0,0.42,
6,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.36,
7,guard_borko,30,30,0.0,0.0,1.0,ambush,0.446,нейтрально,16.7,0.0,0.0,0,0.37,
7,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.825,нейтрально,70.6,0.0,0.0,0,0.37,
7,maid_lusya,15,15,0.07,0.0,1.0,seek_ally,0.388,нейтрально,6.9,0.01,0.0,0,0.37,
7,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.872,нейтрально,51.0,0.0,0.0,0,0.37,
7,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.722,нейтрально,36.3,0.0,0.0,0,0.37,
7,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.427,нейтрально,41.2,0.0,0.0,0,0.38,
7,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.37,
8,guard_borko,30,30,0.0,0.0,1.0,ambush,0.468,нейтрально,16.7,0.0,0.0,0,0.39,
