branch,date,hash,base,entropy_growth,stabilization_ratio,semantic_churn,governance_density,causality_depth,authority_consolidation_index,ontology_expansion_rate,hidden_state_elimination_score,runtime_pressure_index,refactor_intensity,protocolization_growth,systemic_coherence_score,systemic_coherence_trend,coherence_delta,phase,unstable_domains
V.0.1_alfa1,2026-03-15T22:08:03+07:00,d17cc3357ac875ed418b7d0ed89e74ce856d2c48,d17cc3357ac875ed418b7d0ed89e74ce856d2c48~1,55.99,16.65,24.37,16.88,10.29,14.70,5.31,18.17,48.52,29.11,0.00,25.10,50.00,0.00,Transitional Synthesis,runtime_core
V.0.2_alfa1,2026-03-18T22:45:18+07:00,a5600a6dec68b3ce80cd2beeb33a4c974222f5bb,d17cc3357ac875ed418b7d0ed89e74ce856d2c48,35.48,39.35,34.29,17.86,29.32,40.69,15.64,90.54,52.65,92.52,0.00,47.10,82.99,21.99,Refactor Compression,runtime_core
V.0.3A_alfa1,2026-03-19T20:36:19+07:00,4a1462872a0e357b53e5a3df012cc7bd61f87a62,a5600a6dec68b3ce80cd2beeb33a4c974222f5bb,56.55,15.73,30.48,5.00,41.75,18.72,20.99,11.99,55.91,10.94,2.73,21.26,11.24,-25.84,Transitional Synthesis,runtime_core
V.0.4A_alfa2,2026-03-22T16:38:50+07:00,e42924269711128e956c24d243916b9f6cb5eb2f,4a1462872a0e357b53e5a3df012cc7bd61f87a62,64.33,15.87,41.30,17.25,32.02,17.14,18.96,18.58,60.91,26.29,0.83,20.54,48.93,-0.72,Transitional Synthesis,runtime_core
V.0.4.2,2026-03-22T20:34:26+07:00,1108b07011346f073b24ff28bcb8cfc145301ba6,e42924269711128e956c24d243916b9f6cb5eb2f,44.64,36.40,41.63,18.82,44.54,38.04,13.31,74.60,53.24,71.48,15.29,43.97,85.15,23.43,Refactor Compression,runtime_core
V.0.4.3,2026-03-28T23:08:50+07:00,d756ee25498dd8dd561ac28dd3b7a1bace5beb73,1108b07011346f073b24ff28bcb8cfc145301ba6,59.87,18.34,87.58,15.60,36.97,20.09,29.57,49.27,74.97,53.76,0.00,18.34,11.56,-25.63,Transitional Synthesis,runtime_core
V.0.4.4.1,2026-04-02T22:14:55+07:00,ce7223434da40202d83c2eb7d65bf46f3cb0fca0,d756ee25498dd8dd561ac28dd3b7a1bace5beb73,62.39,17.94,51.25,2.32,33.23,27.56,20.54,26.02,58.70,34.31,3.18,21.77,55.14,3.42,Transitional Synthesis,runtime_core|memory
V.0.5.0.1,2026-04-04T22:01:24+07:00,779571710d0e89707548f921418fb1dfd7389ea9,ce7223434da40202d83c2eb7d65bf46f3cb0fca0,66.29,15.99,63.33,11.40,16.13,51.49,14.40,38.50,65.57,46.00,0.00,25.75,55.97,3.98,Transitional Synthesis,runtime_core|memory|authority
V.0.5.0.2,2026-04-07T02:28:52+07:00,f27371620eaa749ae51814b3d059e6a5967dfefa,779571710d0e89707548f921418fb1dfd7389ea9,65.64,21.43,50.90,0.00,42.62,19.62,32.80,13.67,53.57,21.75,6.77,20.03,41.42,-5.72,Transitional Synthesis,runtime_core|memory
V.0.5.0.3,2026-04-07T23:04:51+07:00,49058eef23d9f65089ac623c783ed35afa2711fb,f27371620eaa749ae51814b3d059e6a5967dfefa,71.62,19.51,25.66,5.00,55.74,7.57,19.31,5.45,53.76,10.89,5.62,18.88,48.28,-1.15,Entropy Surge,spatial|runtime_core
