iteration,npc_id,event_type,intent,score,winning_margin,stress,integrity,will_state,mask_active,scores_trace
1,npc_1,player_insults,idle,0.0,0.02310000000000001,63.942679845788376,0.22321073814882275,loyal,False,"{'talk': 0.0935, 'warn': -0.0861, 'intimidate': -0.0361, 'flee': 0.0962, 'help': 0.1129, 'report': 0.0442, 'trade': 0.0864, 'observe': 0.069, 'idle': 0.136}"
2,npc_2,idle,idle,0.0,0.5166000000000001,75.88073671297673,0.27787134167164185,broken,False,"{'talk': 0.078, 'flee': 0.076, 'observe': 0.1334, 'idle': 0.0376, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
3,npc_3,world_tick,flee,0.1968,0.45320000000000005,88.54517479368069,0.06955514882374092,broken,False,"{'talk': 0.0305, 'flee': 0.1968, 'observe': 0.1758, 'idle': 0.1109, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
4,npc_4,player_interacts,talk,0.3388,0.31120000000000003,16.34024937619284,0.6399997598540929,broken,False,"{'talk': 0.3388, 'flee': 0.0354, 'observe': -0.0457, 'idle': 0.0811, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
5,npc_5,betrayal,warn,0.163,0.0495,26.488016649805246,0.26274160852293527,loyal,True,"{'talk': 0.0645, 'warn': 0.163, 'intimidate': -0.2248, 'flee': 0.1043, 'help': -0.0078, 'report': 0.1135, 'trade': -0.0507, 'observe': 0.0824, 'idle': 0.0529}"
6,npc_6,npc_state_changed,idle,0.3516,0.04870000000000002,52.911434509913704,0.011481021942819636,loyal,True,"{'talk': 0.1184, 'warn': 0.0664, 'intimidate': -0.1196, 'flee': 0.1541, 'help': 0.0042, 'report': 0.0309, 'trade': 0.1908, 'observe': 0.3029, 'idle': 0.3516}"
7,npc_7,weather_changed,talk,0.48,0.06989999999999996,50.76628819776342,0.16154903575315338,loyal,False,"{'talk': 0.48, 'warn': 0.0506, 'intimidate': -1.0, 'flee': 0.3486, 'help': 0.4101, 'report': -0.0324, 'trade': 0.3318, 'observe': 0.386, 'idle': 0.3596}"
8,npc_8,help,observe,0.2092,0.030700000000000005,97.79844936773343,0.6597508227473674,coerced,True,"{'talk': -0.0171, 'warn': 0.1183, 'intimidate': -0.2049, 'flee': 0.0437, 'attack': -0.236, 'help': -0.0329, 'report': 0.1785, 'trade': 0.1239, 'observe': 0.2092, 'idle': 0.1216}"
9,npc_9,player_threatens,report,0.4667,0.10420000000000001,22.469733703155736,0.230114732596577,free,False,"{'talk': 0.0671, 'warn': 0.3625, 'intimidate': 0.2338, 'flee': 0.1693, 'attack': 0.2859, 'help': 0.0327, 'report': 0.4667, 'trade': 0.2693, 'observe': 0.1266, 'idle': 0.0172}"
10,npc_10,npc_state_changed,help,0.3338,0.1689,19.04099143618777,0.4235786230199208,free,False,"{'talk': 0.1649, 'warn': 0.0649, 'intimidate': -0.4847, 'flee': 0.0168, 'attack': -0.3496, 'help': 0.3338, 'report': 0.0647, 'trade': 0.0882, 'observe': 0.0537, 'idle': 0.1575}"
