Тик,Всего_сравнений,Дрейф_A_Косметический,Дрейф_B_Проекционный,Дрейф_C_Топологический,Дрейф_D_Каузальный,Дрейф_E_Онтологический,Секунд_прошло
300,300,0,0,0,0,0,68.69
600,600,0,0,0,0,0,141.02
900,900,0,0,0,0,0,211.50
1200,1200,0,0,0,0,0,291.74
1500,1500,0,0,0,0,0,372.27
1800,1800,0,0,0,0,0,456.23
2100,2100,0,0,0,0,0,547.69
2400,2400,0,0,0,0,0,636.39
2700,2700,0,0,0,0,0,728.58
3000,3000,0,0,0,0,0,826.28
3300,3300,0,0,0,0,0,893.17
3600,3600,0,0,0,0,0,965.59
3900,3900,0,0,0,0,0,1037.74
4200,4200,0,0,0,0,0,1112.89
4500,4500,0,0,0,0,0,1194.94
4800,4800,0,0,0,0,0,1276.35
5100,5100,0,0,0,0,0,1362.56
5400,5400,0,0,0,0,0,1450.79
5700,5700,0,0,0,0,0,1548.61
6000,6000,0,0,0,0,0,1646.22
VERDICT,MATCH,,,,,,
